CODIGO_ENTIDAD|NOMBRE|TIPO_GESTION|ESTADO_LICENCIAMIENTO|PERIODO_LICENCIAMIENTO|CODIGO_FILIAL|NOMBRE_FILIAL|DEPARTAMENTO_FILIAL|PROVINCIA_FILIAL|CODIGO_LOCAL|DEPARTAMENTO_LOCAL|PROVINCIA_LOCAL|DISTRITO_LOCAL|LATITUD_UBICACION|LONGITUD_UBICACION|TIPO_AUTORIZACION_LOCAL|DENOMINACION_PROGRAMA|TIPO_NIVEL_ACADEMICO|NIVEL_ACADEMICO|CODIGO_CLASE_PROGRAMA_N2|NOMBRE_CLASE_PROGRAMA_N2|TIPO_AUTORIZACION_PROGRAMA|TIPO_AUTORIZACION_PROGRAMA_LOCAL
030|UNIVERSIDAD RICARDO PALMA|PRIVADO|LICENCIA OTORGADA|6|S01|URP-LIMA|LIMA|LIMA|S01L01|LIMA|LIMA|SANTIAGO DE SURCO|-12.1318458|-76.9796463|AUTORIZADO POR LIC.|ESPECIALIDAD: CIRUGÍA DE CABEZA Y CUELLO|POSGRADO|SEGUNDA ESPECIALIDAD|00|NINGUNO|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
061|UNIVERSIDAD PRIVADA NORBERT WIENER S.A.|PRIVADO|LICENCIA OTORGADA|6|S|UPNW-LIMA|LIMA|LIMA|SL01|LIMA|LIMA|LIMA|-12.0697607|-77.0374712|AUTORIZADO POR LIC.|SEGUNDA ESPECIALIDAD EN ORTODONCIA Y ORTOPEDIA MAXILAR|POSGRADO|SEGUNDA ESPECIALIDAD|91|SALUD|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
002|UNIVERSIDAD NACIONAL DE SAN CRISTÓBAL DE HUAMANGA|PÚBLICO|LICENCIA OTORGADA|6|S|UNSCH-AYACUCHO|AYACUCHO|HUAMANGA|SL01|AYACUCHO|HUAMANGA|AYACUCHO|-13.1612654|-74.2257339|AUTORIZADO POR LIC.|CIENCIAS DE LA COMUNICACIÓN|PREGRADO|CARRERA PROFESIONAL|32|PERIODISMO E INFORMACIÓN|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
014|UNIVERSIDAD PERUANA CAYETANO HEREDIA|PRIVADO|LICENCIA OTORGADA|10|S|UPCH-LIMA|LIMA|LIMA|SL02|LIMA|LIMA|LA MOLINA|-12.0695303|-76.9685595|AUTORIZADO POR LIC.|TERAPIA INFANTIL Y DEL ADOLESCENTE|POSGRADO|SEGUNDA ESPECIALIDAD|00|NINGUNO|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
035|UNIVERSIDAD NACIONAL DE UCAYALI|PÚBLICO|LICENCIA OTORGADA|6|S|UNU-UCAYALI|UCAYALI|CORONEL PORTILLO|SL01|UCAYALI|CORONEL PORTILLO|CALLERIA|-8.3948987|-74.5776093|AUTORIZADO POR LIC.|PSICOLOGÍA|PREGRADO|CARRERA PROFESIONAL|31|CIENCIAS SOCIALES Y DEL COMPORTAMIENTO|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
001|UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS|PÚBLICO|LICENCIA OTORGADA|10|S|UNMSM-LIMA|LIMA|LIMA|SL01|LIMA|LIMA|LIMA|-12.0560257|-77.0844226|AUTORIZADO POR LIC.|REHABILITACIÓN ORAL|POSGRADO|SEGUNDA ESPECIALIDAD|91|SALUD|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
010|UNIVERSIDAD NACIONAL DEL CENTRO DEL PERÚ|PÚBLICO|LICENCIA OTORGADA|6|S|UNCP-JUNÍN|JUNÍN|HUANCAYO|SL01|JUNÍN|HUANCAYO|EL TAMBO|-12.0330464|-75.237332|AUTORIZADO POR LIC.|DOCTORADO EN CIENCIAS DE LA EDUCACIÓN|POSGRADO|DOCTORADO|19|OTROS PROGRAMAS EN EDUCACIÓN|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
061|UNIVERSIDAD PRIVADA NORBERT WIENER S.A.|PRIVADO|LICENCIA OTORGADA|6|S|UPNW-LIMA|LIMA|LIMA|SL02|LIMA|LIMA|LIMA|-12.0687433|-77.0369808|AUTORIZADO POR LIC.|OBSTETRICIA|PREGRADO|CARRERA PROFESIONAL|91|SALUD|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
065|UNIVERSIDAD TECNOLÓGICA DEL PERÚ S.A.C.|PRIVADO|LICENCIA OTORGADA|6|F05|UTP-ICA|ICA|ICA|F05L01|ICA|ICA|ICA|-14.07546|-75.7341811|AUTORIZADO POR LIC.|INGENIERÍA CIVIL|PREGRADO|CARRERA PROFESIONAL|73|ARQUITECTURA Y CONSTRUCCIÓN|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
034|UNIVERSIDAD NACIONAL DE SAN MARTÍN|PÚBLICO|LICENCIA OTORGADA|6|F01|UNSM-SAN MARTÍN|SAN MARTÍN|MOYOBAMBA|F01L01|SAN MARTÍN|MOYOBAMBA|MOYOBAMBA|-6.048139858|-76.97262401|AUTORIZADO POR LIC.|INGENIERÍA AMBIENTAL|PREGRADO|CARRERA PROFESIONAL|52|MEDIO AMBIENTE|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
043|UNIVERSIDAD PRIVADA DE TACNA|PRIVADO|LICENCIA OTORGADA|6|S|UPT-TACNA|TACNA|TACNA|SL01|TACNA|TACNA|POCOLLAY|-18.0058389|-70.2254838|AUTORIZADO POR LIC.|SEGUNDA ESPECIALIDAD EN CIENCIA POLÍTICA, GESTIÓN PÚBLICA Y GOBIERNO|POSGRADO|SEGUNDA ESPECIALIDAD|31|CIENCIAS SOCIALES Y DEL COMPORTAMIENTO|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
069|UNIVERSIDAD CATÓLICA SANTO TORIBIO DE MOGROVEJO|PRIVADO|LICENCIA OTORGADA|6|S|UCSTM-LAMBAYEQUE|LAMBAYEQUE|CHICLAYO|SL01|LAMBAYEQUE|CHICLAYO|CHICLAYO|-6.760456|-79.863203|AUTORIZADO POR LIC.|MAESTRÍA EN EDUCACIÓN: ANTROPOLOGÍA, FAMILIA Y GESTIÓN|POSGRADO|MAESTRÍA|19|OTROS PROGRAMAS EN EDUCACIÓN|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
023|UNIVERSIDAD NACIONAL HERMILIO VALDIZÁN DE HUÁNUCO|PÚBLICO|LICENCIA OTORGADA|6|S|UNHV-HUÁNUCO|HUÁNUCO|HUÁNUCO|SL01|HUÁNUCO|HUÁNUCO|PILLCO MARCA|-9.9496157|-76.2501276|AUTORIZADO POR LIC.|BIOLOGÍA, QUÍMICA Y CIENCIA DEL AMBIENTE|PREGRADO|CARRERA PROFESIONAL|51|CIENCIAS BIOLÓGICAS Y AFINES|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
064A|UNIVERSIDAD PRIVADA SAN JUAN BAUTISTA S.A.C.|PRIVADO|LICENCIA OTORGADA|6|F02|UPSJB-ICA|ICA|CHINCHA|F02L01|ICA|CHINCHA|CHINCHA ALTA|-13.4208296|-76.1340976|AUTORIZADO POR LIC.|CONTABILIDAD|PREGRADO|CARRERA PROFESIONAL|41|ADMINISTRACIÓN Y COMERCIO|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
054|UNIVERSIDAD PERUANA DE CIENCIAS APLICADAS S.A.C.|PRIVADO|LICENCIA OTORGADA|6|S|UPC-LIMA|LIMA|LIMA|SL10|LIMA|LIMA|CHORRILLOS|-12.1964766|-77.0055369|AUTORIZADO POR LIC.|DISEÑO INDUSTRIAL|PREGRADO|CARRERA PROFESIONAL|21|ARTE|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
065|UNIVERSIDAD TECNOLÓGICA DEL PERÚ S.A.C.|PRIVADO|LICENCIA OTORGADA|6|S|UTP-LIMA|LIMA|LIMA|SL15|LIMA|LIMA|SAN JUAN DE LURIGANCHO|-11.9853984|-77.0042599|AUTORIZADO POR LIC.|INGENIERÍA EN SEGURIDAD LABORAL Y AMBIENTAL|PREGRADO|CARRERA PROFESIONAL|02|SERVICIOS DE HIGIENE Y SALUD OCUPACIONAL|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
065|UNIVERSIDAD TECNOLÓGICA DEL PERÚ S.A.C.|PRIVADO|LICENCIA OTORGADA|6|S|UTP-LIMA|LIMA|LIMA|SL05|LIMA|LIMA|LIMA|-12.0624396|-77.0405951|AUTORIZADO POR LIC.|ENFERMERÍA|PREGRADO|CARRERA PROFESIONAL|91|SALUD|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
055|UNIVERSIDAD PRIVADA DEL NORTE S.A.C.|PRIVADO|LICENCIA OTORGADA|6|F02|UPN-LIMA|LIMA|LIMA|F02L02|LIMA|LIMA|LIMA|-12.0582506|-77.0586501|AUTORIZADO POR LIC.|ADMINISTRACIÓN Y MARKETING|PREGRADO|CARRERA PROFESIONAL|41|ADMINISTRACIÓN Y COMERCIO|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
054|UNIVERSIDAD PERUANA DE CIENCIAS APLICADAS S.A.C.|PRIVADO|LICENCIA OTORGADA|6|S|UPC-LIMA|LIMA|LIMA|SL05|LIMA|LIMA|SAN ISIDRO|-12.0868407|-77.0499283|AUTORIZADO POR LIC.|INGENIERÍA DE SOFTWARE|PREGRADO|CARRERA PROFESIONAL|61|INFORMÁTICA|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
052A|UNIVERSIDAD CÉSAR VALLEJO S.A.C.|PRIVADO|LICENCIA OTORGADA|6|F09|UPCV-CALLAO|CALLAO|PROV. CONST. DEL CALLAO|F09L01|CALLAO|PROV. CONST. DEL CALLAO|CALLAO|-12.050378|-77.1234613|AUTORIZADO POR LIC.|CIENCIAS DE LA COMUNICACIÓN|PREGRADO|CARRERA PROFESIONAL|32|PERIODISMO E INFORMACIÓN|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
012|UNIVERSIDAD NACIONAL DEL ALTIPLANO|PÚBLICO|LICENCIA OTORGADA|6|S|UNA-PUNO|PUNO|PUNO|SL01|PUNO|PUNO|PUNO|-15.8243805|-70.0162544|AUTORIZADO POR LIC.|SEGUNDA ESPECIALIDAD EN DIDÁCTICA UNIVERSITARIA|POSGRADO|SEGUNDA ESPECIALIDAD|13|EDUCACIÓN SUPERIOR Y TECNOLÓGICA|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
057|UNIVERSIDAD SAN IGNACIO DE LOYOLA S.A.|PRIVADO|LICENCIA OTORGADA|6|S|USIL-LIMA|LIMA|LIMA|SL01|LIMA|LIMA|LA MOLINA|-12.072888|-76.9516609|AUTORIZADO POR LIC.|INGENIERÍA EN INDUSTRIAS ALIMENTARIAS|PREGRADO|CARRERA PROFESIONAL|72|INDUSTRIA Y PRODUCCIÓN|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
076|UNIVERSIDAD NACIONAL TORIBIO RODRÍGUEZ DE MENDOZA DE AMAZONAS|PÚBLICO|LICENCIA OTORGADA|6|S|UNTRMA-AMAZONAS|AMAZONAS|CHACHAPOYAS|SL01|AMAZONAS|CHACHAPOYAS|CHACHAPOYAS|-6.2335409|-77.8531651|AUTORIZADO POR LIC.|EDUCACIÓN INICIAL INTERCULTURAL BILINGÜE|PREGRADO|CARRERA PROFESIONAL|11|EDUCACIÓN INICIAL Y PRIMARIA|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
013|UNIVERSIDAD NACIONAL DE PIURA|PÚBLICO|LICENCIA OTORGADA|6|S|UNP-PIURA|PIURA|PIURA|SL01|PIURA|PIURA|CASTILLA|-5.179311|-80.6188325|AUTORIZADO POR LIC.|MAESTRÍA EN DERECHO CON MENCIÓN EN CRIMINALÍSTICA Y CIENCIAS FORENSES|POSGRADO|MAESTRÍA|42|DERECHO|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
002|UNIVERSIDAD NACIONAL DE SAN CRISTÓBAL DE HUAMANGA|PÚBLICO|LICENCIA OTORGADA|6|S|UNSCH-AYACUCHO|AYACUCHO|HUAMANGA|SL01|AYACUCHO|HUAMANGA|AYACUCHO|-13.1612654|-74.2257339|AUTORIZADO POR LIC.|DOCTORADO EN EDUCACIÓN|POSGRADO|DOCTORADO|19|OTROS PROGRAMAS EN EDUCACIÓN|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
014|UNIVERSIDAD PERUANA CAYETANO HEREDIA|PRIVADO|LICENCIA OTORGADA|10|S|UPCH-LIMA|LIMA|LIMA|SL04|LIMA|LIMA|MIRAFLORES|-12.13402606|-77.02627908|AUTORIZADO POR LIC.|PROGRAMA DE SEGUNDA ESPECIALIDAD PROFESIONAL EN AUDITORÍA ODONTOLÓGICA|POSGRADO|SEGUNDA ESPECIALIDAD|91|SALUD|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
014|UNIVERSIDAD PERUANA CAYETANO HEREDIA|PRIVADO|LICENCIA OTORGADA|10|S|UPCH-LIMA|LIMA|LIMA|SL01|LIMA|LIMA|SAN MARTÍN DE PORRES|-12.0239471|-77.0564991|AUTORIZADO POR LIC.|PROGRAMA DE SEGUNDA ESPECIALIDAD EN ACOMPAÑAMIENTO PEDAGÓGICO PARA FORMADORES DE ACOMPAÑANTES PEDAGÓGICOS|POSGRADO|SEGUNDA ESPECIALIDAD|00|NINGUNO|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
029|UNIVERSIDAD DE PIURA|PRIVADO|LICENCIA OTORGADA|8|F01|UDEP-LIMA|LIMA|LIMA|F01L01|LIMA|LIMA|MIRAFLORES|-12.1199404|-77.030347|AUTORIZADO POR LIC.|PERIODISMO|PREGRADO|CARRERA PROFESIONAL|32|PERIODISMO E INFORMACIÓN|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
082|UNIVERSIDAD PARA EL DESARROLLO ANDINO|PRIVADO|LICENCIA OTORGADA|6|S|UDEA-HUANCAVELICA|HUANCAVELICA|ANGARAES|SL01|HUANCAVELICA|ANGARAES|LIRCAY|-12.9883792|-74.7205766|AUTORIZADO POR LIC.|EDUCACIÓN INICIAL Y BILINGÜE|PREGRADO|CARRERA PROFESIONAL|11|EDUCACIÓN INICIAL Y PRIMARIA|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
014|UNIVERSIDAD PERUANA CAYETANO HEREDIA|PRIVADO|LICENCIA OTORGADA|10|S|UPCH-LIMA|LIMA|LIMA|SL04|LIMA|LIMA|MIRAFLORES|-12.13402606|-77.02627908|AUTORIZADO POR LIC.|PROGRAMA DE SEGUNDA ESPECIALIDAD PROFESIONAL EN CUIDADO EN ENFERMERÍA EN PERFUSIÓN Y OXIGENACIÓN EXTRACORPÓREA|POSGRADO|SEGUNDA ESPECIALIDAD|91|SALUD|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
039|UNIVERSIDAD ANDINA DEL CUSCO|PRIVADO|LICENCIA OTORGADA|6|S|UAC-CUSCO|CUSCO|CUSCO|SL02|CUSCO|CUSCO|CUSCO|-13.5197131|-71.977133|AUTORIZADO POR LIC.|CIENCIAS DE LA SALUD|POSGRADO|DOCTORADO|91|SALUD|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
055|UNIVERSIDAD PRIVADA DEL NORTE S.A.C.|PRIVADO|LICENCIA OTORGADA|6|F02|UPN-LIMA|LIMA|LIMA|F02L03|LIMA|LIMA|LOS OLIVOS|-11.9659256|-77.0682846|AUTORIZADO POR LIC.|INGENIERÍA ELECTRÓNICA|PREGRADO|CARRERA PROFESIONAL|71|INGENIERÍA Y PROFESIONES AFINES|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
065|UNIVERSIDAD TECNOLÓGICA DEL PERÚ S.A.C.|PRIVADO|LICENCIA OTORGADA|6|S|UTP-LIMA|LIMA|LIMA|SL01|LIMA|LIMA|LIMA|-12.0648091|-77.0363951|AUTORIZADO POR LIC.|ADMINISTRACIÓN, BANCA Y FINANZAS|PREGRADO|CARRERA PROFESIONAL|41|ADMINISTRACIÓN Y COMERCIO|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
033|UNIVERSIDAD NACIONAL SANTIAGO ANTÚNEZ DE MAYOLO|PÚBLICO|LICENCIA OTORGADA|6|S|UNSAM-ÁNCASH|ÁNCASH|HUARAZ|SL04|ÁNCASH|HUARAZ|HUARAZ|-9.537001434|-77.52841687|AUTORIZADO POR LIC.|MAESTRÍA EN CIENCIAS E INGENIERÍA CON MENCIÓN EN GESTIÓN DE RIESGOS Y CAMBIO CLIMÁTICO|POSGRADO|MAESTRÍA|00|NINGUNO|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
051|UNIVERSIDAD NACIONAL DE HUANCAVELICA|PÚBLICO|LICENCIA OTORGADA|6|S|UNH-HUANCAVELICA|HUANCAVELICA|HUANCAVELICA|SL01|HUANCAVELICA|HUANCAVELICA|HUANCAVELICA|-12.7781367|-74.9614392|AUTORIZADO POR LIC.|MAESTRÍA EN CIENCIAS DE LA SALUD; MENCIÓN EN ADMINISTRACIÓN Y GERENCIA EN SERVICIOS DE SALUD|POSGRADO|MAESTRÍA|00|NINGUNO|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
012|UNIVERSIDAD NACIONAL DEL ALTIPLANO|PÚBLICO|LICENCIA OTORGADA|6|S|UNA-PUNO|PUNO|PUNO|SL01|PUNO|PUNO|PUNO|-15.8243805|-70.0162544|AUTORIZADO POR LIC.|EDUCACIÓN SECUNDARIA DE LA ESPECIALIDAD DE CIENCIA, TECNOLOGÍA Y AMBIENTE|PREGRADO|CARRERA PROFESIONAL|12|EDUCACIÓN SECUNDARIA|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
029|UNIVERSIDAD DE PIURA|PRIVADO|LICENCIA OTORGADA|8|F01|UDEP-LIMA|LIMA|LIMA|F01L02|LIMA|LIMA|SANTIAGO DE SURCO|-12.1045956|-76.9661382|AUTORIZADO POR LIC.|MÁSTER EN DIRECCIÓN DE EMPRESAS|POSGRADO|MAESTRÍA|00|NINGUNO|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
055|UNIVERSIDAD PRIVADA DEL NORTE S.A.C.|PRIVADO|LICENCIA OTORGADA|6|F02|UPN-LIMA|LIMA|LIMA|F02L06|LIMA|LIMA|CHORRILLOS|-12.17926249|-77.00377846|AUTORIZADO POR LIC.|ADMINISTRACIÓN Y MARKETING|PREGRADO|CARRERA PROFESIONAL|41|ADMINISTRACIÓN Y COMERCIO|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
010|UNIVERSIDAD NACIONAL DEL CENTRO DEL PERÚ|PÚBLICO|LICENCIA OTORGADA|6|S|UNCP-JUNÍN|JUNÍN|HUANCAYO|SL01|JUNÍN|HUANCAYO|EL TAMBO|-12.0330464|-75.237332|AUTORIZADO POR LIC.|SEGUNDA ESPECIALIDAD PROFESIONAL EN MEDICINA ONCOLÓGICA|POSGRADO|SEGUNDA ESPECIALIDAD|00|NINGUNO|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
052A|UNIVERSIDAD CÉSAR VALLEJO S.A.C.|PRIVADO|LICENCIA OTORGADA|6|F05|UPCV-LIMA|LIMA|LIMA|F05L03|LIMA|LIMA|ATE|-12.0228788|-76.9105401|AUTORIZADO POR LIC.|CIENCIAS DE LA COMUNICACIÓN|PREGRADO|CARRERA PROFESIONAL|32|PERIODISMO E INFORMACIÓN|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
014|UNIVERSIDAD PERUANA CAYETANO HEREDIA|PRIVADO|LICENCIA OTORGADA|10|S|UPCH-LIMA|LIMA|LIMA|SL02|LIMA|LIMA|LA MOLINA|-12.0695303|-76.9685595|AUTORIZADO POR LIC.|ORTOPEDIA Y TRAUMATOLOGÍA|POSGRADO|SEGUNDA ESPECIALIDAD|91|SALUD|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
071|UNIVERSIDAD CATÓLICA SEDES SAPIENTIAE|PRIVADO|LICENCIA OTORGADA|6|F05|UCSS-JUNÍN|JUNÍN|TARMA|F05L01|JUNÍN|TARMA|TARMA|-11.4175125|-75.6809387|AUTORIZADO POR LIC.|TECNOLOGÍA MÉDICA - TERAPIA FÍSICA Y REHABILITACIÓN|PREGRADO|CARRERA PROFESIONAL|91|SALUD|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
054|UNIVERSIDAD PERUANA DE CIENCIAS APLICADAS S.A.C.|PRIVADO|LICENCIA OTORGADA|6|S|UPC-LIMA|LIMA|LIMA|SL05|LIMA|LIMA|SAN ISIDRO|-12.0868407|-77.0499283|AUTORIZADO POR LIC.|MAESTRÍA EN ADMINISTRACIÓN Y DIRECCIÓN DE PROYECTOS|POSGRADO|MAESTRÍA|41|ADMINISTRACIÓN Y COMERCIO|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
019|UNIVERSIDAD DE SAN MARTÍN DE PORRES|PRIVADO|LICENCIA OTORGADA|6|S|USMP-LIMA|LIMA|LIMA|SL07|LIMA|LIMA|SAN ISIDRO|-12.0926846|-77.0375019|AUTORIZADO POR LIC.|DERECHO REGISTRAL Y NOTARIAL|POSGRADO|MAESTRÍA|42|DERECHO|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
071|UNIVERSIDAD CATÓLICA SEDES SAPIENTIAE|PRIVADO|LICENCIA OTORGADA|6|S|UCSS-LIMA|LIMA|LIMA|SL06|LIMA|LIMA|LOS OLIVOS|-12.0023612|-77.0641642|AUTORIZADO POR LIC.|ARCHIVÍSTICA Y GESTIÓN DOCUMENTAL|PREGRADO|CARRERA PROFESIONAL|32|PERIODISMO E INFORMACIÓN|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
008|PONTIFICIA UNIVERSIDAD CATÓLICA DEL PERÚ|PRIVADO|LICENCIA OTORGADA|10|S|PUCP-LIMA|LIMA|LIMA|SL01|LIMA|LIMA|SAN MIGUEL|-12.0693438|-77.080122|AUTORIZADO POR LIC.|SOCIOLOGÍA CON MENCIÓN EN DESARROLLO Y POLÍTICAS SOCIALES|POSGRADO|MAESTRÍA|00|NINGUNO|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
014|UNIVERSIDAD PERUANA CAYETANO HEREDIA|PRIVADO|LICENCIA OTORGADA|10|S|UPCH-LIMA|LIMA|LIMA|SL04|LIMA|LIMA|MIRAFLORES|-12.13402606|-77.02627908|AUTORIZADO POR LIC.|MAESTRÍA EN DIABETES Y OBESIDAD CON MENCIÓN EN MANEJO NUTRICIONAL|POSGRADO|MAESTRÍA|91|SALUD|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
055|UNIVERSIDAD PRIVADA DEL NORTE S.A.C.|PRIVADO|LICENCIA OTORGADA|6|F02|UPN-LIMA|LIMA|LIMA|F02L02|LIMA|LIMA|LIMA|-12.0582506|-77.0586501|AUTORIZADO POR LIC.|ADMINISTRACIÓN Y GESTIÓN DEL TALENTO HUMANO|PREGRADO|CARRERA PROFESIONAL|41|ADMINISTRACIÓN Y COMERCIO|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
011|UNIVERSIDAD NACIONAL DE LA AMAZONÍA PERUANA|PÚBLICO|LICENCIA OTORGADA|8|S|UNAP-LORETO|LORETO|MAYNAS|SL04|LORETO|MAYNAS|SAN JUAN BAUTISTA|-3.7753954|-73.2897258|AUTORIZADO POR LIC.|INGENIERÍA DE SISTEMAS E INFORMÁTICA|PREGRADO|CARRERA PROFESIONAL|61|INFORMÁTICA|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
014|UNIVERSIDAD PERUANA CAYETANO HEREDIA|PRIVADO|LICENCIA OTORGADA|10|S|UPCH-LIMA|LIMA|LIMA|SL04|LIMA|LIMA|MIRAFLORES|-12.13402606|-77.02627908|AUTORIZADO POR LIC.|PROGRAMA DE SEGUNDA ESPECIALIDAD PROFESIONAL EN MEDICINA INTENSIVA|POSGRADO|SEGUNDA ESPECIALIDAD|91|SALUD|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
064A|UNIVERSIDAD PRIVADA SAN JUAN BAUTISTA S.A.C.|PRIVADO|LICENCIA OTORGADA|6|F01|UPSJB-ICA|ICA|ICA|F01L02|ICA|ICA|SALAS|-13.9323191|-75.9048414|AUTORIZADO POR LIC.|MEDICINA VETERINARIA Y ZOOTECNIA|PREGRADO|CARRERA PROFESIONAL|84|VETERINARIA|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
004|UNIVERSIDAD NACIONAL DE TRUJILLO|PÚBLICO|LICENCIA OTORGADA|8|S|UNT-LA LIBERTAD|LA LIBERTAD|TRUJILLO|SL01|LA LIBERTAD|TRUJILLO|TRUJILLO|-8.1142716|-79.0383735|AUTORIZADO POR LIC.|SEGUNDA ESPECIALIDAD PROFESIONAL EN NEFROLOGÍA|POSGRADO|SEGUNDA ESPECIALIDAD|00|NINGUNO|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
035|UNIVERSIDAD NACIONAL DE UCAYALI|PÚBLICO|LICENCIA OTORGADA|6|S|UNU-UCAYALI|UCAYALI|CORONEL PORTILLO|SL01|UCAYALI|CORONEL PORTILLO|CALLERIA|-8.3948987|-74.5776093|AUTORIZADO POR LIC.|PROGRAMA DE SEGUNDA ESPECIALIDAD INTERDISCIPLINARIA, CON MENCIÓN EN: EMERGENCIAS Y DESASTRES|POSGRADO|SEGUNDA ESPECIALIDAD|00|NINGUNO|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
013|UNIVERSIDAD NACIONAL DE PIURA|PÚBLICO|LICENCIA OTORGADA|6|S|UNP-PIURA|PIURA|PIURA|SL01|PIURA|PIURA|CASTILLA|-5.179311|-80.6188325|AUTORIZADO POR LIC.|SEGUNDA ESPECIALIDAD EN MEDICINA INTERNA|POSGRADO|SEGUNDA ESPECIALIDAD|91|SALUD|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
071|UNIVERSIDAD CATÓLICA SEDES SAPIENTIAE|PRIVADO|LICENCIA OTORGADA|6|S|UCSS-LIMA|LIMA|LIMA|SL01|LIMA|LIMA|LOS OLIVOS|-12.0001412|-77.0639086|AUTORIZADO POR LIC.|ADMINISTRACIÓN|PREGRADO|CARRERA PROFESIONAL|41|ADMINISTRACIÓN Y COMERCIO|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
068|UNIVERSIDAD CIENTÍFICA DEL SUR S.A.C.|PRIVADO|LICENCIA OTORGADA|6|S|UCS-LIMA|LIMA|LIMA|SL04|LIMA|LIMA|MIRAFLORES|-12.1194134|-77.0261271|AUTORIZADO POR LIC.|MAESTRÍA EN RADIOLOGÍA BUCAL Y MAXILOFACIAL|POSGRADO|MAESTRÍA|91|SALUD|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
014|UNIVERSIDAD PERUANA CAYETANO HEREDIA|PRIVADO|LICENCIA OTORGADA|10|S|UPCH-LIMA|LIMA|LIMA|SL04|LIMA|LIMA|MIRAFLORES|-12.13402606|-77.02627908|AUTORIZADO POR LIC.|PROGRAMA DE SEGUNDA ESPECIALIDAD PROFESIONAL EN RADIOLOGÍA BUCAL Y MAXILOFACIAL|POSGRADO|SEGUNDA ESPECIALIDAD|91|SALUD|RECONOCIDO POR LIC.|RECONOCIDO POR LIC.
